Delta,Parameter,Sensitivity_C,Sensitivity_Aa,Value
1.0%,ps,3.836859539911618e-13,4.073138258194852e-06,934676.3147912543
1.0%,Fl,1.2816760827225193e-11,0.0001360603335317992,27980.71824449165
1.0%,settling time,9.268179964821746e-08,0.9838926342198093,3.869391562041417
1.0%,ps,1.1498788217482465e-11,2.9197648424935773e-05,247917.26510612122
1.0%,Fl,3.5140764977948823e-10,0.0008922920239973628,8112.367868774673
1.0%,settling time,1.6644047939405789e-06,4.22624585226898,1.7127733213045038
1.0%,ps,9.57326017707743e-13,3.908132471051829e-06,1171702.8656453555
1.0%,Fl,2.671741436490856e-11,0.0001090696300849123,41983.914423182156
1.0%,settling time,5.855196356345641e-07,2.3902915601740755,1.9157370138225356
1.0%,ps,6.743418485171447e-13,1.302028348960981e-06,624227.6736574268
1.0%,Fl,6.274853956148237e-11,0.00012115572768412059,6708.408614630103
1.0%,settling time,2.953306655744376e-07,0.5702284379072704,1.4253272430444859
1.0%,ps,3.87867022017181e-10,0.0010705970199039012,130983.1869409557
1.0%,Fl,1.790490952475094e-09,0.004942142974454328,28374.373287325998
1.0%,settling time,1.621463469577649e-05,44.75590498477533,3.1332225243619813
1.0%,ps,1.1868859220193394e-12,3.288405591326103e-07,1521641.0653288455
1.0%,Fl,1.16440312464449e-10,3.22611438437479e-05,15510.21566827829
1.0%,settling time,5.240090286388476e-06,1.451828004455233,0.34465329032527803
1.0%,ps,6.90774071879229e-13,8.419199699614415e-07,1071424.9375638445
1.0%,Fl,5.619277744625276e-11,6.848812574984788e-05,13170.95542290694
1.0%,settling time,7.927001292596195e-07,0.9661481172839568,0.9336602070762741
1.0%,ps,1.3338800384812257e-13,4.392977924522681e-07,1979125.6419620742
1.0%,Fl,1.0300429446415216e-11,3.3923259862803856e-05,25629.185668353886
1.0%,settling time,1.5254582607632058e-07,0.5023918396697595,1.730572546861275
1.0%,ps,4.929585117598154e-13,3.6275766849601774e-06,1159549.9123852022
1.0%,Fl,1.4767059893178106e-11,0.00010866764828274985,38708.44997281406
1.0%,settling time,1.8962717948559607e-07,1.3954260221230685,3.014388552691903
1.0%,ps,7.213337984661045e-13,3.0702295631633647e-06,658076.666871078
1.0%,Fl,4.028704984700272e-11,0.00017147469273716013,11782.767504663638
1.0%,settling time,2.20663095572641e-07,0.9392133863225605,2.1512112868903435
10.0%,ps,9.645644868854638e-13,1.7014212879780566e-06,589031.0361519887
10.0%,Fl,1.538303320903984e-11,2.7134546763218822e-05,36934.09559901864
10.0%,settling time,6.050668786215277e-07,1.0672937703327927,0.9390010248783454
10.0%,ps,6.124155129369218e-15,7.499148203646132e-08,1058135.1127261063
10.0%,Fl,5.29038154052875e-13,6.478176072973701e-06,12248.990982074978
10.0%,settling time,2.2408196473684237e-09,0.02743927656677223,2.8918809176711138
10.0%,ps,2.6179676781089465e-13,1.0557642633895932e-06,558474.1370741974
10.0%,Fl,6.750865461393757e-12,2.7224639023194324e-05,21657.478560062747
